policy,tau,k,frozen_token_fraction,mean_settle_delay_steps,settle_delay_ci,row_update_fraction_avoided_gen_rows,gen_rows_ci,row_update_fraction_avoided_incl_prompt_freeze,incl_prompt_ci
"freeze_at_commit (upper bound, no drift gate)",,,1.0,0.0,,0.2097435830757206,"[0.2003, 0.2193]",0.7833864037813524,"[0.7735, 0.7931]"
drift_gate tau=0.1 k=1,0.1,1.0,0.25967741935483873,24.84725806451613,"[24.29, 25.38]",0.0499217109603119,"[0.0456, 0.0547]",0.6235645316659439,"[0.6066, 0.6404]"
drift_gate tau=0.1 k=2,0.1,2.0,0.09741935483870967,29.80548387096774,"[29.48, 30.10]",0.017488804120007473,"[0.0154, 0.0200]",0.5911316248256395,"[0.5725, 0.6094]"
drift_gate tau=0.1 k=4,0.1,4.0,0.028064516129032258,31.68693548387097,"[31.55, 31.82]",0.005175784432998317,"[0.0042, 0.0062]",0.5788186051386304,"[0.5596, 0.5979]"
drift_gate tau=0.15 k=1,0.15,1.0,0.44387096774193546,18.941451612903226,"[18.21, 19.66]",0.08822304498482665,"[0.0819, 0.0950]",0.6618658656904586,"[0.6462, 0.6775]"
drift_gate tau=0.15 k=2,0.15,2.0,0.2403225806451613,25.36048387096774,"[24.76, 25.90]",0.04655174742936887,"[0.0421, 0.0516]",0.620194568135001,"[0.6031, 0.6371]"
drift_gate tau=0.15 k=4,0.15,4.0,0.09370967741935483,29.65790322580645,"[29.24, 30.02]",0.018507367924216124,"[0.0158, 0.0218]",0.5921501886298481,"[0.5739, 0.6106]"
drift_gate tau=0.2 k=1,0.2,1.0,0.6001612903225807,13.768387096774193,"[12.98, 14.56]",0.1217630855029116,"[0.1138, 0.1297]",0.6954059062085437,"[0.6811, 0.7097]"
drift_gate tau=0.2 k=2,0.2,2.0,0.4037096774193548,19.954677419354837,"[19.13, 20.73]",0.08159336822953277,"[0.0752, 0.0886]",0.6552361889351649,"[0.6395, 0.6710]"
drift_gate tau=0.2 k=4,0.2,4.0,0.20919354838709678,25.910645161290322,"[25.32, 26.47]",0.042835869474722725,"[0.0384, 0.0477]",0.6164786901803548,"[0.5992, 0.6338]"
drift_gate tau=0.3 k=1,0.3,1.0,0.7933870967741935,7.525161290322581,"[6.85, 8.24]",0.16174301762091225,"[0.1528, 0.1708]",0.7353858383265446,"[0.7233, 0.7474]"
drift_gate tau=0.3 k=2,0.3,2.0,0.6687096774193548,11.183709677419355,"[10.40, 12.00]",0.13878611237390961,"[0.1301, 0.1479]",0.7124289330795418,"[0.6992, 0.7253]"
drift_gate tau=0.3 k=4,0.3,4.0,0.5066129032258064,15.931935483870967,"[15.15, 16.68]",0.10743882920690596,"[0.1004, 0.1150]",0.6810816499125378,"[0.6663, 0.6958]"
drift_gate tau=0.4 k=1,0.4,1.0,0.8853225806451613,4.442096774193549,"[3.90, 5.04]",0.1813884234177049,"[0.1725, 0.1908]",0.7550312441233368,"[0.7439, 0.7662]"
drift_gate tau=0.4 k=2,0.4,2.0,0.7975806451612903,6.895483870967742,"[6.19, 7.67]",0.1663352100781432,"[0.1570, 0.1759]",0.7399780307837753,"[0.7282, 0.7517]"
drift_gate tau=0.4 k=4,0.4,4.0,0.6885483870967742,9.816774193548387,"[9.07, 10.59]",0.1473895906093035,"[0.1384, 0.1564]",0.7210324113149356,"[0.7082, 0.7336]"
drift_gate tau=0.5 k=1,0.5,1.0,0.9317741935483871,2.910322580645161,"[2.49, 3.45]",0.19109980400415508,"[0.1820, 0.2001]",0.7647426247097872,"[0.7538, 0.7753]"
drift_gate tau=0.5 k=2,0.5,2.0,0.8709677419354839,4.320322580645161,"[3.75, 4.98]",0.18238838765194568,"[0.1730, 0.1919]",0.7560312083575778,"[0.7450, 0.7669]"
drift_gate tau=0.5 k=4,0.5,4.0,0.787741935483871,6.230967741935484,"[5.55, 6.99]",0.17032548443092135,"[0.1609, 0.1797]",0.7439683051365533,"[0.7321, 0.7554]"
drift_gate tau=0.75 k=1,0.75,1.0,0.9740322580645161,1.5959677419354839,"[1.37, 1.93]",0.19959454031920756,"[0.1904, 0.2089]",0.7732373610248396,"[0.7631, 0.7834]"
drift_gate tau=0.75 k=2,0.75,2.0,0.9430645161290323,1.9051612903225807,"[1.59, 2.31]",0.1975480198767281,"[0.1882, 0.2069]",0.7711908405823603,"[0.7608, 0.7815]"
drift_gate tau=0.75 k=4,0.75,4.0,0.8879032258064516,2.6596774193548387,"[2.14, 3.29]",0.19284929077780064,"[0.1834, 0.2025]",0.7664921114834327,"[0.7562, 0.7771]"
drift_gate tau=1.0 k=1,1.0,1.0,0.9948387096774194,1.1146774193548388,"[1.04, 1.22]",0.20257727963628547,"[0.1934, 0.2119]",0.7762201003419176,"[0.7660, 0.7863]"
drift_gate tau=1.0 k=2,1.0,2.0,0.9746774193548388,1.1974193548387098,"[1.09, 1.34]",0.20204677952566044,"[0.1929, 0.2114]",0.7756896002312925,"[0.7655, 0.7858]"
drift_gate tau=1.0 k=4,1.0,4.0,0.9370967741935484,1.4146774193548388,"[1.26, 1.61]",0.2006186707669254,"[0.1915, 0.2099]",0.7742614914725574,"[0.7640, 0.7842]"
