policy,tau,k,frozen_token_fraction,mean_settle_delay_steps,settle_delay_ci,row_update_fraction_avoided_gen_rows,gen_rows_ci,row_update_fraction_avoided_incl_prompt_freeze,incl_prompt_ci
"freeze_at_commit (upper bound, no drift gate)",,,1.0,0.0,,0.20745693985875516,"[0.1975, 0.2175]",0.7857479444932659,"[0.7753, 0.7961]"
drift_gate tau=0.1 k=1,0.1,1.0,0.2670967741935484,24.600322580645162,"[24.08, 25.12]",0.05072113485822987,"[0.0467, 0.0550]",0.6290121394927405,"[0.6114, 0.6474]"
drift_gate tau=0.1 k=2,0.1,2.0,0.09870967741935484,29.741451612903226,"[29.45, 30.02]",0.017681999063532162,"[0.0155, 0.0198]",0.5959730036980427,"[0.5767, 0.6153]"
drift_gate tau=0.1 k=4,0.1,4.0,0.027580645161290322,31.719677419354838,"[31.59, 31.84]",0.0051439200776301555,"[0.0043, 0.0061]",0.5834349247121408,"[0.5636, 0.6031]"
drift_gate tau=0.15 k=1,0.15,1.0,0.4729032258064516,17.89,"[17.24, 18.57]",0.09427237326838853,"[0.0877, 0.1008]",0.672563377902899,"[0.6572, 0.6883]"
drift_gate tau=0.15 k=2,0.15,2.0,0.24806451612903227,25.10290322580645,"[24.61, 25.59]",0.047719989481260064,"[0.0435, 0.0520]",0.6260109941157707,"[0.6083, 0.6442]"
drift_gate tau=0.15 k=4,0.15,4.0,0.09548387096774194,29.633709677419354,"[29.33, 29.91]",0.01863029287257,"[0.0164, 0.0211]",0.5969212975070806,"[0.5779, 0.6160]"
drift_gate tau=0.2 k=1,0.2,1.0,0.612741935483871,13.384354838709678,"[12.75, 14.07]",0.12327228604227061,"[0.1159, 0.1311]",0.7015632906767811,"[0.6875, 0.7159]"
drift_gate tau=0.2 k=2,0.2,2.0,0.4204838709677419,19.271290322580644,"[18.63, 19.91]",0.08505470068785943,"[0.0792, 0.0912]",0.6633457053223701,"[0.6475, 0.6802]"
drift_gate tau=0.2 k=4,0.2,4.0,0.21806451612903227,25.716129032258063,"[25.25, 26.16]",0.04349693916204935,"[0.0397, 0.0474]",0.62178794379656,"[0.6038, 0.6400]"
drift_gate tau=0.3 k=1,0.3,1.0,0.7967741935483871,7.5603225806451615,"[6.99, 8.22]",0.16006059597089034,"[0.1512, 0.1693]",0.7383516006054011,"[0.7261, 0.7510]"
drift_gate tau=0.3 k=2,0.3,2.0,0.6690322580645162,11.244516129032258,"[10.61, 11.90]",0.13672372029447596,"[0.1289, 0.1452]",0.7150147249289865,"[0.7016, 0.7290]"
drift_gate tau=0.3 k=4,0.3,4.0,0.507258064516129,15.937903225806451,"[15.33, 16.56]",0.10635016088109404,"[0.0998, 0.1132]",0.6846411655156045,"[0.6698, 0.6999]"
drift_gate tau=0.4 k=1,0.4,1.0,0.8875806451612903,4.55016129032258,"[4.01, 5.18]",0.17924031415893807,"[0.1696, 0.1890]",0.7575313187934485,"[0.7462, 0.7693]"
drift_gate tau=0.4 k=2,0.4,2.0,0.8014516129032258,6.887741935483871,"[6.28, 7.57]",0.16445064339669432,"[0.1553, 0.1740]",0.7427416480312048,"[0.7305, 0.7551]"
drift_gate tau=0.4 k=4,0.4,4.0,0.6946774193548387,9.658064516129032,"[9.02, 10.33]",0.14678166015856398,"[0.1384, 0.1556]",0.7250726647930744,"[0.7120, 0.7385]"
drift_gate tau=0.5 k=1,0.5,1.0,0.937258064516129,2.9403225806451614,"[2.53, 3.41]",0.18905907804946995,"[0.1794, 0.1987]",0.7673500826839806,"[0.7563, 0.7785]"
drift_gate tau=0.5 k=2,0.5,2.0,0.8725806451612903,4.470967741935484,"[3.97, 5.09]",0.17949490858050912,"[0.1699, 0.1890]",0.7577859132150195,"[0.7463, 0.7696]"
drift_gate tau=0.5 k=4,0.5,4.0,0.7930645161290323,6.340967741935484,"[5.73, 7.05]",0.16776225308760598,"[0.1586, 0.1773]",0.7460532577221166,"[0.7341, 0.7585]"
drift_gate tau=0.75 k=1,0.75,1.0,0.9770967741935483,1.5919354838709678,"[1.35, 1.91]",0.19744217767077338,"[0.1878, 0.2072]",0.775733182305284,"[0.7650, 0.7864]"
drift_gate tau=0.75 k=2,0.75,2.0,0.9464516129032258,1.91,"[1.57, 2.37]",0.1954052420611921,"[0.1857, 0.2054]",0.7736962466957027,"[0.7630, 0.7845]"
drift_gate tau=0.75 k=4,0.75,4.0,0.9014516129032258,2.3941935483870966,"[1.95, 3.01]",0.19238450269927176,"[0.1826, 0.2025]",0.7706755073337824,"[0.7599, 0.7818]"
drift_gate tau=1.0 k=1,1.0,1.0,0.9935483870967742,1.1179032258064516,"[1.03, 1.25]",0.20034090065075247,"[0.1908, 0.2101]",0.778631905285263,"[0.7679, 0.7893]"
drift_gate tau=1.0 k=2,1.0,2.0,0.9754838709677419,1.1662903225806451,"[1.07, 1.32]",0.20003931599974412,"[0.1905, 0.2098]",0.7783303206342548,"[0.7677, 0.7890]"
drift_gate tau=1.0 k=4,1.0,4.0,0.9395161290322581,1.3329032258064517,"[1.19, 1.52]",0.19899054467772853,"[0.1894, 0.2086]",0.7772815493122391,"[0.7666, 0.7880]"
