dataset,example_id,semantic_label,representation_label,repeat,execution_order,semantic_plan_sha256,reference_plan_sha256,a2_latency_s,a3_latency_s,runtime_gain,speedup,a2_exact_a1,a3_exact_a2,answer_or_correctness_changed,generation_reference_opportunity,total_row_removal_fraction,prompt_len,gen_length,nfe
gsm8k,gsm8k-test-300,safe_c095_s2,robust_delayed_one_update,0,A2_then_A3,0200c6d3cd57eb7b5da6b0d4296074bbbe65bfb58dbe1fe291993f1c2cde3e92,637fefb69caf3a4c2b2a504518e9cc7e2e5b087f68945be7bd42317afd0e6213,3.4278814839199185,3.550731719005853,-0.03583853049244001,0.9654014313645948,1,1,0,0.47619047619047616,0.19789734075448362,90,64,63
gsm8k,gsm8k-test-300,safe_c095_s2,robust_delayed_one_update,1,A3_then_A2,0200c6d3cd57eb7b5da6b0d4296074bbbe65bfb58dbe1fe291993f1c2cde3e92,637fefb69caf3a4c2b2a504518e9cc7e2e5b087f68945be7bd42317afd0e6213,3.4298167121596634,3.5466324409935623,-0.03405888379392241,0.9670629165053332,1,1,0,0.47619047619047616,0.19789734075448362,90,64,63
gsm8k,gsm8k-test-300,safe_c095_s2,robust_delayed_one_update,2,A2_then_A3,0200c6d3cd57eb7b5da6b0d4296074bbbe65bfb58dbe1fe291993f1c2cde3e92,637fefb69caf3a4c2b2a504518e9cc7e2e5b087f68945be7bd42317afd0e6213,3.4307488379999995,3.550450521055609,-0.034890832499819835,0.9662854946588525,1,1,0,0.47619047619047616,0.19789734075448362,90,64,63
gsm8k,gsm8k-test-300,safe_c095_s2,robust_delayed_one_update,3,A3_then_A2,0200c6d3cd57eb7b5da6b0d4296074bbbe65bfb58dbe1fe291993f1c2cde3e92,637fefb69caf3a4c2b2a504518e9cc7e2e5b087f68945be7bd42317afd0e6213,3.434422184014693,3.551508189877495,-0.03409190821319874,0.9670320327019037,1,1,0,0.47619047619047616,0.19789734075448362,90,64,63
gsm8k,gsm8k-test-300,safe_c095_s2,robust_delayed_one_update,4,A2_then_A3,0200c6d3cd57eb7b5da6b0d4296074bbbe65bfb58dbe1fe291993f1c2cde3e92,637fefb69caf3a4c2b2a504518e9cc7e2e5b087f68945be7bd42317afd0e6213,3.444114077836275,3.5674159878399223,-0.035800762465193925,0.9654366324465831,1,1,0,0.47619047619047616,0.19789734075448362,90,64,63
gsm8k,gsm8k-test-300,aggressive_c090_age4_s8,robust_delayed_one_update,0,A2_then_A3,482a4e3072140b07c998591d32c42c1666bab1c44caa5c9a201dd0e024377111,611d0d70294274f2383e142a29777616b5b889cff6ab8d15299b52ed052af29d,3.3304237930569798,3.438776877010241,-0.032534323163060375,0.9684908071013126,1,1,0,0.47899590163934425,0.1990632318501171,90,64,61
gsm8k,gsm8k-test-300,aggressive_c090_age4_s8,robust_delayed_one_update,1,A3_then_A2,482a4e3072140b07c998591d32c42c1666bab1c44caa5c9a201dd0e024377111,611d0d70294274f2383e142a29777616b5b889cff6ab8d15299b52ed052af29d,3.3255792090203613,3.4396787639707327,-0.034309678939802524,0.96682842707711,1,1,0,0.47899590163934425,0.1990632318501171,90,64,61
gsm8k,gsm8k-test-300,aggressive_c090_age4_s8,robust_delayed_one_update,2,A2_then_A3,482a4e3072140b07c998591d32c42c1666bab1c44caa5c9a201dd0e024377111,611d0d70294274f2383e142a29777616b5b889cff6ab8d15299b52ed052af29d,3.325931384926662,3.4386933220084757,-0.03390386752801278,0.9672079111096911,1,1,0,0.47899590163934425,0.1990632318501171,90,64,61
gsm8k,gsm8k-test-300,aggressive_c090_age4_s8,robust_delayed_one_update,3,A3_then_A2,482a4e3072140b07c998591d32c42c1666bab1c44caa5c9a201dd0e024377111,611d0d70294274f2383e142a29777616b5b889cff6ab8d15299b52ed052af29d,3.3278047810308635,3.438179763033986,-0.033167505086921345,0.9678972626184841,1,1,0,0.47899590163934425,0.1990632318501171,90,64,61
gsm8k,gsm8k-test-300,aggressive_c090_age4_s8,robust_delayed_one_update,4,A2_then_A3,482a4e3072140b07c998591d32c42c1666bab1c44caa5c9a201dd0e024377111,611d0d70294274f2383e142a29777616b5b889cff6ab8d15299b52ed052af29d,3.3269563978537917,3.439156273845583,-0.03372448044830745,0.9673757552557121,1,1,0,0.47899590163934425,0.1990632318501171,90,64,61
gsm8k,gsm8k-test-301,safe_c095_s2,robust_delayed_one_update,0,A2_then_A3,104a9b438c0ae7384bd87572bb899a7079d5ebff3b506437a84351b7183517ed,49a1bc02e0c0cae0f11be89300f51738e6a0cd467b1467f5283a9231115cf7aa,3.492707289988175,3.586460511898622,-0.026842564843378103,0.9738591233336025,1,1,0,0.48336693548387094,0.1663198057578911,122,64,62
gsm8k,gsm8k-test-301,safe_c095_s2,robust_delayed_one_update,1,A3_then_A2,104a9b438c0ae7384bd87572bb899a7079d5ebff3b506437a84351b7183517ed,49a1bc02e0c0cae0f11be89300f51738e6a0cd467b1467f5283a9231115cf7aa,3.4934585480950773,3.5871594841592014,-0.026821825641875074,0.9738787928225927,1,1,0,0.48336693548387094,0.1663198057578911,122,64,62
