dataset,semantic_label,representation_label,representation_policy,representation_layer,representation_threshold,representation_patience,representation_min_age,representation_lock_fraction,examples,exact_sequence_match_rate,mean_token_agreement,answer_changed_rate,correctness_changed_rate,a1_correct_a2_incorrect_rate,a1_incorrect_a2_correct_rate,mean_reference_lock_count,mean_reference_token_forwards,mean_reference_opportunity_fraction,mean_runtime_gain,strict_safety_pass
gsm8k,aggressive_c090_age4_s8,immediate_same_step_stress,always,8,0.0,1,0,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,64.0,1935.0,0.4948331420857503,-0.15306154395521301,1
gsm8k,aggressive_c090_age4_s8,delayed_one_update,always,8,0.0,1,1,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,63.0,1872.0,0.47871335880736715,-0.1518955401522977,1
gsm8k,aggressive_c090_age4_s8,capped_drift_l08_t050_p1_a1_f006,capped_drift,8,0.05,1,1,0.06,10,1.0,1.0,0.0,0.0,0.0,0.0,59.0,1711.9,0.43758401497754207,-0.1543907487955557,1
gsm8k,safe_c095_s2,immediate_same_step_stress,always,8,0.0,1,0,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,64.0,1975.0,0.49376320084485414,-0.15357366129947364,1
gsm8k,safe_c095_s2,delayed_one_update,always,8,0.0,1,1,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,63.0,1912.0,0.47801061767953146,-0.1528278365746373,1
gsm8k,safe_c095_s2,capped_drift_l08_t050_p1_a1_f006,capped_drift,8,0.05,1,1,0.06,10,1.0,1.0,0.0,0.0,0.0,0.0,60.4,1794.2,0.44850402925787264,-0.15395162415193425,1
humaneval,aggressive_c090_age4_s8,immediate_same_step_stress,always,8,0.0,1,0,1.0,5,1.0,1.0,0.0,0.0,0.0,0.0,128.0,7506.8,0.5047653631423069,-0.0887590506682007,1
humaneval,aggressive_c090_age4_s8,delayed_one_update,always,8,0.0,1,1,1.0,5,1.0,1.0,0.0,0.0,0.0,0.0,127.0,7379.8,0.4962208465689514,-0.08793986902425348,1
humaneval,aggressive_c090_age4_s8,capped_drift_l08_t050_p1_a1_f006,capped_drift,8,0.05,1,1,0.06,5,1.0,1.0,0.0,0.0,0.0,0.0,115.0,6485.4,0.4357572803118931,-0.09669846849656824,1
humaneval,safe_c095_s2,immediate_same_step_stress,always,8,0.0,1,0,1.0,5,1.0,1.0,0.0,0.0,0.0,0.0,128.0,7842.6,0.4989500665676145,-0.09124481425613462,1
humaneval,safe_c095_s2,delayed_one_update,always,8,0.0,1,1,1.0,5,1.0,1.0,0.0,0.0,0.0,0.0,127.0,7715.6,0.49086984578502646,-0.0906181222583002,1
humaneval,safe_c095_s2,capped_drift_l08_t050_p1_a1_f006,capped_drift,8,0.05,1,1,0.06,5,1.0,1.0,0.0,0.0,0.0,0.0,120.8,7236.4,0.460347121357069,-0.09552544485975548,1
math500,aggressive_c090_age4_s8,immediate_same_step_stress,always,8,0.0,1,0,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,64.0,1880.4,0.4989499553909387,-0.1589890161998623,1
math500,aggressive_c090_age4_s8,delayed_one_update,always,8,0.0,1,1,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,63.0,1817.4,0.48221485564680727,-0.1573202065949189,1
math500,aggressive_c090_age4_s8,capped_drift_l08_t050_p1_a1_f006,capped_drift,8,0.05,1,1,0.06,10,1.0,1.0,0.0,0.0,0.0,0.0,56.9,1592.7,0.4218906595116253,-0.16108994129878987,1
math500,safe_c095_s2,immediate_same_step_stress,always,8,0.0,1,0,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,64.0,1978.7,0.49231470814132106,-0.15944244950366587,1
math500,safe_c095_s2,delayed_one_update,always,8,0.0,1,1,1.0,10,1.0,1.0,0.0,0.0,0.0,0.0,63.0,1915.7,0.47663694226430486,-0.1590675988278807,1
math500,safe_c095_s2,capped_drift_l08_t050_p1_a1_f006,capped_drift,8,0.05,1,1,0.06,10,1.0,1.0,0.0,0.0,0.0,0.0,60.6,1811.8,0.4507221462173579,-0.15922222775661182,1
